,Unnamed: 0,Application ID,Project Name,Name of Approved Vendor,group,lat,lon,Size (kW AC),Address,Ordinal,Lottery Status,Block,Queue Number,Small Subscribers,formatted_address,accuracy,type,clean_add,man_update,town,lat_deg_dec_min,lon_deg_dec_min,area_ov,field_ID,shape_file_ID,CALCACRES,geometry
6,501,3122,Boone 2(b),"Illinois PV Boone 2, LLC",B,42.413090999999994,-88.749868,2000.0,"17828 Capron Road, Capron, IL  61012",143,Waitlist,,,Yes,"17828 Capron Rd, Capron, IL 61012, USA",ROOFTOP,street_address,"17828 Capron Road, Capron, IL  61012",0.0,,,,2822.893641482766,7989,3,72.56,"POLYGON ((849338.6897134035 4704188.63033748, 849312.1445790778 4704572.182561307, 850013.5828887537 4704604.753831603, 850111.8501332966 4704609.729214276, 850124.3014984115 4704415.56989197, 850026.5644861266 4704409.924632803, 850036.4543067312 4704288.246380265, 850132.0923757704 4704294.077139238, 850136.276025197 4704228.833736904, 850066.0520141594 4704225.117558233, 849338.6897134035 4704188.63033748))"
7,484,2712,Boone Solar 1 LLC,TCA Microgrid Energy Management LLC,B,42.39731939999999,-88.7535692,2000.0,"9700 Centerville Road, Capron, IL  61012",122,Waitlist,,,Yes,"9700 Centerville Rd, Capron, IL 61012, USA",RANGE_INTERPOLATED,street_address,"9700 Centerville Road, Capron, IL  61012",0.0,,,,2822.893641482766,7982,3,72.23,"POLYGON ((849447.8968159655 4703288.687762924, 849791.4009422914 4703302.068208661, 849792.2033719986 4703281.728683263, 849793.438314836 4703281.795024615, 849801.4832271694 4703101.388251494, 849804.256349061 4703003.407156259, 849940.5146318136 4703005.402633516, 849947.9715762202 4702854.578853056, 849938.0048297588 4702841.581354715, 849915.8278528773 4702820.876965205, 849902.3585140354 4702813.019720156, 849873.7602993844 4702801.564149966, 849839.2677098811 4702802.634804328, 849816.1560357099 4702801.701519249, 849791.3484110853 4702804.860952607, 849773.2275373114 4702802.876676376, 849747.6656404004 4702796.853562854, 849733.7386025502 4702795.165136987, 849714.3174636461 4702791.683569766, 849713.7611923 4702779.703527934, 849715.3749087976 4702727.13969554, 849719.6049982251 4702707.069913942, 849721.2149444188 4702689.273871898, 849770.3532115393 4702689.962525699, 849834.9280993665 4702685.123031836, 849825.2181856467 4702660.215115154, 849819.247777275 4702604.200503442, 849654.0814472758 4702592.649457932, 849429.9245984147 4702582.536032158, 849410.46800448 4702981.239027587, 849395.7467359237 4703262.571296423, 849394.5390100318 4703285.644357115, 849447.8968159655 4703288.687762924))"
8,564,2898,Boone Solar 1b LLC,TCA Microgrid Energy Management LLC,B,42.397351,-88.753569,1500.0,"9700 Centerville Road, #B, Capron, IL  61012",215,Waitlist,,,Yes,,,,"9700 Centerville Road, #B, Capron, IL  61012",1.0,,,,2822.893641482766,7982,3,72.23,"POLYGON ((849447.8968159655 4703288.687762924, 849791.4009422914 4703302.068208661, 849792.2033719986 4703281.728683263, 849793.438314836 4703281.795024615, 849801.4832271694 4703101.388251494, 849804.256349061 4703003.407156259, 849940.5146318136 4703005.402633516, 849947.9715762202 4702854.578853056, 849938.0048297588 4702841.581354715, 849915.8278528773 4702820.876965205, 849902.3585140354 4702813.019720156, 849873.7602993844 4702801.564149966, 849839.2677098811 4702802.634804328, 849816.1560357099 4702801.701519249, 849791.3484110853 4702804.860952607, 849773.2275373114 4702802.876676376, 849747.6656404004 4702796.853562854, 849733.7386025502 4702795.165136987, 849714.3174636461 4702791.683569766, 849713.7611923 4702779.703527934, 849715.3749087976 4702727.13969554, 849719.6049982251 4702707.069913942, 849721.2149444188 4702689.273871898, 849770.3532115393 4702689.962525699, 849834.9280993665 4702685.123031836, 849825.2181856467 4702660.215115154, 849819.247777275 4702604.200503442, 849654.0814472758 4702592.649457932, 849429.9245984147 4702582.536032158, 849410.46800448 4702981.239027587, 849395.7467359237 4703262.571296423, 849394.5390100318 4703285.644357115, 849447.8968159655 4703288.687762924))"
9,582,949,"Belvidere Landfill Solar 1, LLC","Ameresco, Inc.",B,42.2604766,-88.8624772,2000.0,"825 North Appleton Rd, Belvidere, IL  61008",235,Waitlist,,18-00979,Yes,"825 N Appleton Rd, Belvidere, IL 61008, USA",RANGE_INTERPOLATED,street_address,"825 North Appleton Rd, Belvidere, IL  61008",0.0,,,,700.3085332370474,5443,3,0.88,"POLYGON ((841200.4815508577 4687026.94593131, 841275.4707332635 4687032.239619477, 841277.6874258694 4686974.905912197, 841255.9007081769 4686973.367944105, 841215.8936893065 4686984.23232899, 841200.4815508577 4687026.94593131))"
10,648,3384,"Ogdenville Solar, LLC","Cypress Creek Renewables, LLC",B,42.255457,-88.7257492,2000.0,"7000 Garden Prairie Rd, Garden Prairie, IL  61038",320,Waitlist,,,Yes,"7000 Garden Prairie Rd, Garden Prairie, IL 61038, USA",ROOFTOP,street_address,"7000 Garden Prairie Rd, Garden Prairie, IL  61038",0.0,,,,2153.749498512376,8661,3,5.44,"POLYGON ((852435.327536368 4686865.139427869, 852445.4711486807 4686919.353397674, 852448.858683394 4686961.66054259, 852547.1575652693 4686959.67583434, 852545.4712060946 4687001.624871192, 852619.6243015593 4687006.894432343, 852638.1193702961 4687008.209024282, 852645.6245289255 4686876.233753286, 852435.327536368 4686865.139427869))"
11,662,1503,"Belvidere Landfill Solar 2, West LLC","Ameresco, Inc.",B,42.295367,-88.854789,2000.0,"9797 Fairground Rd, Belvidere, IL  61008",335,Waitlist,,18-01143,Yes,"8791 IL-76, Belvidere, IL 61008, USA",ROOFTOP,"establishment,point_of_interest","9797 Fairground Rd, Belvidere, IL  61008",1.0,,,,595.3221864266666,8547,3,43.8,"POLYGON ((841661.054805554 4690839.195422046, 841540.8928624702 4690831.591500499, 841476.6965276345 4690827.505360386, 841233.9956426441 4690812.057371421, 841215.0110517684 4691173.295673675, 841219.8184489895 4691206.256545631, 841629.1359468154 4691199.130466832, 841652.2341007866 4691196.938319406, 841667.9016645756 4691191.671991944, 841673.7813005282 4691180.614695006, 841684.0371139431 4691089.56598571, 841708.3445356389 4690952.985957236, 841728.0525368289 4690845.397419695, 841661.054805554 4690839.195422046))"
12,728,1506,"Belvidere Landfill Solar 2 East, LLC","Ameresco, Inc.",B,42.295367,-88.854789,2000.0,"9797 Fairground Rd, Belvidere, IL  61008",407,Waitlist,,18-01144,Yes,"8791 IL-76, Belvidere, IL 61008, USA",ROOFTOP,"establishment,point_of_interest","9797 Fairground Rd, Belvidere, IL  61008",1.0,,,,595.3221864266666,8547,3,43.8,"POLYGON ((841661.054805554 4690839.195422046, 841540.8928624702 4690831.591500499, 841476.6965276345 4690827.505360386, 841233.9956426441 4690812.057371421, 841215.0110517684 4691173.295673675, 841219.8184489895 4691206.256545631, 841629.1359468154 4691199.130466832, 841652.2341007866 4691196.938319406, 841667.9016645756 4691191.671991944, 841673.7813005282 4691180.614695006, 841684.0371139431 4691089.56598571, 841708.3445356389 4690952.985957236, 841728.0525368289 4690845.397419695, 841661.054805554 4690839.195422046))"
13,674,3114,Boone 1(b),"Illinois PV Boone 1, LLC",B,42.280502899999995,-88.7921931,2000.0,"7642 Marengo Road, Belvidere, IL  61008",348,Waitlist,,,Yes,"7642 Marengo Rd, Garden Prairie, IL 61038, USA",ROOFTOP,street_address,"7642 Marengo Road, Belvidere, IL  61008",0.0,,,,1924.772144328277,4573,3,83.51,"POLYGON ((847254.956938368 4689919.983207259, 847450.7410409007 4689927.18725259, 847669.4380118928 4689935.23568128, 847669.8311629097 4689828.538370478, 847685.6251809706 4689519.769701289, 847165.8201230392 4689500.079287495, 847143.2254657531 4689499.271534044, 846870.9742048047 4689487.371858407, 846863.7753078237 4689616.708814966, 846854.2836407521 4689803.775569178, 846855.6046932919 4689821.125578778, 846853.5200000403 4689900.554134916, 847254.956938368 4689919.983207259))"
14,741,3112,Boone 1(a),"Illinois PV Boone 1, LLC",B,42.280502899999995,-88.7921931,2000.0,"7642 Marengo Road, Belvidere, IL  61008",425,Waitlist,,,Yes,"7642 Marengo Rd, Garden Prairie, IL 61038, USA",ROOFTOP,street_address,"7642 Marengo Road, Belvidere, IL  61008",0.0,,,,1924.772144328277,4573,3,83.51,"POLYGON ((847254.956938368 4689919.983207259, 847450.7410409007 4689927.18725259, 847669.4380118928 4689935.23568128, 847669.8311629097 4689828.538370478, 847685.6251809706 4689519.769701289, 847165.8201230392 4689500.079287495, 847143.2254657531 4689499.271534044, 846870.9742048047 4689487.371858407, 846863.7753078237 4689616.708814966, 846854.2836407521 4689803.775569178, 846855.6046932919 4689821.125578778, 846853.5200000403 4689900.554134916, 847254.956938368 4689919.983207259))"
15,678,3087,"Kish Solar II, LLC","Cypress Creek Renewables, LLC",B,42.219909799999996,-88.9214376,2000.0,"5204 Wheeler Rd, Cherry Valley, IL  61016",352,Waitlist,,,Yes,"5204 Wheeler Rd, Cherry Valley, IL 61016, USA",RANGE_INTERPOLATED,street_address,"5204 Wheeler Rd, Cherry Valley, IL  61016",0.0,,,,2822.893641482766,4927,3,43.93,"POLYGON ((836725.2472727539 4682437.317793996, 836732.8652593924 4682298.273083536, 836741.3385956511 4682151.025274877, 836748.2268039538 4681999.739677427, 836748.315580277 4681994.99502162, 836699.0155417982 4681993.963482219, 836697.3132874311 4682019.534886692, 836693.0613442876 4682025.607674079, 836678.5899551015 4682050.07871997, 836643.0795746864 4682047.574065212, 836612.5526660733 4682046.695446858, 836607.6427581818 4682025.956554684, 836586.0829008701 4682024.435878458, 836586.0670639537 4682006.590254093, 836568.6686974992 4682000.264960511, 836556.3452365421 4681994.297614526, 836541.3938062758 4681989.420452245, 836523.2639974165 4681975.395361357, 836494.0958077849 4681973.338065887, 836481.860808218 4681966.102433552, 836352.6808433937 4681954.442043824, 836338.6568567193 4681972.570885753, 836313.9096291069 4682412.645448209, 836725.2472727539 4682437.317793996))"
16,731,2439,IL-17-0008 - IL FEJA - Silberhorn - Garden Prairie,"Forefront Power, LLC",B,42.2539,-88.737163,2000.0,"10258 US Route 20, Garden Prairie, IL  61038",411,Waitlist,,,Yes,"10258 US-20, Garden Prairie, IL 61038, USA",ROOFTOP,street_address,"10258 US Route 20, Garden Prairie, IL  61038",0.0,,,,2411.3207227405383,4664,3,4.49,"POLYGON ((851459.5348360363 4686803.299994702, 851529.672581824 4686808.21871066, 851533.1943936923 4686794.44478947, 851843.8617538998 4686799.801825211, 851846.2516896811 4686750.969824362, 851458.1416134792 4686752.178609085, 851459.5348360363 4686803.299994702))"
17,870,2362,Poplar Grove Solar,"Poplar Grove Solar, LLC",B,42.373954,-88.856898,2000.0,"42.373954°N, 88.856898°W, Poplar Grove 61011",118,Waitlist,,,Yes,,,,,, Poplar Grove 61011,,,2822.893641482766,1291,3,42.07,"POLYGON ((841226.3014359713 4699412.779295328, 841179.5266865673 4699409.470267863, 841187.2981219962 4699318.087965395, 840789.1286745968 4699292.600134899, 840765.5481945388 4699684.820442464, 840832.8108976807 4699689.579101074, 840965.2443038903 4699698.948422729, 840975.4774355304 4699699.672390816, 841207.3565240027 4699716.077264512, 841226.3014359713 4699412.779295328))"
18,892,2663,Poplar Grove Solar 2,"Poplar Grove Solar, LLC",B,42.373954,-88.856898,2000.0,"42.373954°N, 88.856898°W, Poplar Grove 61011",253,Waitlist,,,Yes,,,,,, Poplar Grove 61011,,,2822.893641482766,1291,3,42.07,"POLYGON ((841226.3014359713 4699412.779295328, 841179.5266865673 4699409.470267863, 841187.2981219962 4699318.087965395, 840789.1286745968 4699292.600134899, 840765.5481945388 4699684.820442464, 840832.8108976807 4699689.579101074, 840965.2443038903 4699698.948422729, 840975.4774355304 4699699.672390816, 841207.3565240027 4699716.077264512, 841226.3014359713 4699412.779295328))"
