,index,CALCACRES,geometry,index_right,Unnamed: 0,Application ID,Project Name,Name of Approved Vendor,group,lat,lon,Size (kW AC),Address,Ordinal,Lottery Status,Block,Queue Number,Small Subscribers,formatted_address,accuracy,type,clean_add,man_update,town,lat_deg_dec_min,lon_deg_dec_min
10,10,143.58,"POLYGON ((842362.8812298599 4683696.461664642, 842399.3128439661 4682895.183410454, 841867.8118209676 4682871.227490116, 841865.9551990509 4682907.691133465, 841857.565045055 4682927.975926047, 841835.5229020922 4682930.398433018, 841812.9226018104 4682940.733375682, 841794.4185114228 4682949.370070182, 841759.0979538563 4682956.819476703, 841742.4337409659 4682967.573149693, 841723.5109854015 4682982.144900676, 841713.561149523 4682996.355021329, 841695.9071221362 4683007.040862383, 841678.6021734963 4683012.778313126, 841661.0868538247 4683021.483723039, 841646.8314422478 4683040.360094669, 841636.0568434568 4683080.360617161, 841619.9869703141 4683124.957573697, 841583.5955961533 4683207.879883339, 841569.340355725 4683477.876464585, 841685.727105319 4683488.52830053, 841675.8730097234 4683658.205238648, 842362.8812298599 4683696.461664642))",883,883,4804,Grismer Family Limited Partnership CSG 1,"St. Clair Solar, LLC",B,42.227694444444396,-88.8581111111111,2000.0,"42°13'39.7""N, 88°51'29.2""W, Belvidere 61008",210,Waitlist,,18-01129,Yes,,,,,, Belvidere 61008,,
11,11,83.51,"POLYGON ((847254.956938368 4689919.983207259, 847450.7410409007 4689927.18725259, 847669.4380118928 4689935.23568128, 847669.8311629097 4689828.538370478, 847685.6251809706 4689519.769701289, 847165.8201230392 4689500.079287495, 847143.2254657531 4689499.271534044, 846870.9742048047 4689487.371858407, 846863.7753078237 4689616.708814966, 846854.2836407521 4689803.775569178, 846855.6046932919 4689821.125578778, 846853.5200000403 4689900.554134916, 847254.956938368 4689919.983207259))",741,741,3112,Boone 1(a),"Illinois PV Boone 1, LLC",B,42.280502899999995,-88.7921931,2000.0,"7642 Marengo Road, Belvidere, IL  61008",425,Waitlist,,,Yes,"7642 Marengo Rd, Garden Prairie, IL 61038, USA",ROOFTOP,street_address,"7642 Marengo Road, Belvidere, IL  61008",0.0,,,
12,12,83.51,"POLYGON ((847254.956938368 4689919.983207259, 847450.7410409007 4689927.18725259, 847669.4380118928 4689935.23568128, 847669.8311629097 4689828.538370478, 847685.6251809706 4689519.769701289, 847165.8201230392 4689500.079287495, 847143.2254657531 4689499.271534044, 846870.9742048047 4689487.371858407, 846863.7753078237 4689616.708814966, 846854.2836407521 4689803.775569178, 846855.6046932919 4689821.125578778, 846853.5200000403 4689900.554134916, 847254.956938368 4689919.983207259))",674,674,3114,Boone 1(b),"Illinois PV Boone 1, LLC",B,42.280502899999995,-88.7921931,2000.0,"7642 Marengo Road, Belvidere, IL  61008",348,Waitlist,,,Yes,"7642 Marengo Rd, Garden Prairie, IL 61038, USA",ROOFTOP,street_address,"7642 Marengo Road, Belvidere, IL  61008",0.0,,,
13,13,4.49,"POLYGON ((851459.5348360363 4686803.299994702, 851529.672581824 4686808.21871066, 851533.1943936923 4686794.44478947, 851843.8617538998 4686799.801825211, 851846.2516896811 4686750.969824362, 851458.1416134792 4686752.178609085, 851459.5348360363 4686803.299994702))",731,731,2439,IL-17-0008 - IL FEJA - Silberhorn - Garden Prairie,"Forefront Power, LLC",B,42.2539,-88.737163,2000.0,"10258 US Route 20, Garden Prairie, IL  61038",411,Waitlist,,,Yes,"10258 US-20, Garden Prairie, IL 61038, USA",ROOFTOP,street_address,"10258 US Route 20, Garden Prairie, IL  61038",0.0,,,
14,14,43.93,"POLYGON ((836725.2472727539 4682437.317793996, 836732.8652593924 4682298.273083536, 836741.3385956511 4682151.025274877, 836748.2268039538 4681999.739677427, 836748.315580277 4681994.99502162, 836699.0155417982 4681993.963482219, 836697.3132874311 4682019.534886692, 836693.0613442876 4682025.607674079, 836678.5899551015 4682050.07871997, 836643.0795746864 4682047.574065212, 836612.5526660733 4682046.695446858, 836607.6427581818 4682025.956554684, 836586.0829008701 4682024.435878458, 836586.0670639537 4682006.590254093, 836568.6686974992 4682000.264960511, 836556.3452365421 4681994.297614526, 836541.3938062758 4681989.420452245, 836523.2639974165 4681975.395361357, 836494.0958077849 4681973.338065887, 836481.860808218 4681966.102433552, 836352.6808433937 4681954.442043824, 836338.6568567193 4681972.570885753, 836313.9096291069 4682412.645448209, 836725.2472727539 4682437.317793996))",678,678,3087,"Kish Solar II, LLC","Cypress Creek Renewables, LLC",B,42.219909799999996,-88.9214376,2000.0,"5204 Wheeler Rd, Cherry Valley, IL  61016",352,Waitlist,,,Yes,"5204 Wheeler Rd, Cherry Valley, IL 61016, USA",RANGE_INTERPOLATED,street_address,"5204 Wheeler Rd, Cherry Valley, IL  61016",0.0,,,
15,15,77.12,"POLYGON ((836694.3381951866 4683129.385827305, 836696.8243366502 4683097.202971119, 836700.5897323883 4683043.82756133, 836711.3178655364 4682854.0367446, 836712.4325726363 4682843.327960946, 836715.2856388444 4682701.062851963, 836719.9955462406 4682598.157436832, 836723.3793072847 4682532.11909996, 836725.2472727539 4682437.317793996, 836313.9096291069 4682412.645448209, 836313.2970645605 4682412.608260804, 836299.4136230447 4682785.512529983, 836308.9331554512 4682795.10578785, 836309.2330123011 4682826.990261516, 836293.9406153895 4682845.029485116, 836271.0606019136 4683196.46198441, 836285.295090324 4683211.486050803, 836285.2338705382 4683212.353833657, 836416.6425970756 4683219.434585927, 836501.1607612679 4683221.363770049, 836507.1137071311 4683191.194859535, 836533.2677732462 4683163.72560439, 836555.3487555822 4683139.792602028, 836572.9987801817 4683124.468761744, 836575.6984996935 4683104.266618215, 836633.4844250375 4683098.146876539, 836636.7679647007 4683123.869283648, 836694.3381951866 4683129.385827305))",420,420,3072,"Kish Solar, LLC","Cypress Creek Renewables, LLC",B,42.2255639,-88.9202468,2000.0,"5259 Wheeler Rd, Cherry Valley, IL  61016",51,Accepted,1.0,,Yes,"5259 Wheeler Rd, Cherry Valley, IL 61016, USA",RANGE_INTERPOLATED,street_address,"5259 Wheeler Rd, Cherry Valley, IL  61016",0.0,,,
16,16,154.41,"POLYGON ((841762.4121135417 4705013.852027762, 842164.0151536505 4705038.835798456, 842180.1933054543 4704641.109678909, 842180.7033512753 4704614.288714617, 842189.5903175331 4704410.077924155, 842197.7643938403 4704229.650695691, 841790.4137926977 4704208.984161828, 841396.5583273226 4704186.673663352, 841385.8945951005 4704444.235427849, 841435.6610231937 4704447.238253824, 841443.7615870272 4704443.126749438, 841462.9653676425 4704443.965579192, 841498.5613966172 4704448.567547445, 841511.1227657271 4704477.050499016, 841518.1181456975 4704481.191093442, 841542.6534706566 4704487.613405405, 841573.4777329782 4704493.440220566, 841602.8464771449 4704494.337388023, 841609.9173884775 4704502.485924842, 841618.5640016854 4704525.787859516, 841614.6116202229 4704537.481650054, 841593.7805762324 4704537.568373103, 841576.0949663916 4704537.357917439, 841554.7456323644 4704537.407941375, 841544.6104795136 4704540.855487077, 841504.7957814868 4704536.994558083, 841503.3471091734 4704528.041736015, 841492.1705654156 4704524.126987424, 841473.5217764392 4704522.806538348, 841446.7795266845 4704520.252616978, 841401.2006330476 4704516.494418812, 841412.6719099339 4704549.925470002, 841409.9321382754 4704729.28552177, 841400.2572185175 4704727.197342493, 841403.2551032766 4704556.906555737, 841398.2607233655 4704537.433280027, 841389.1698229508 4704515.50205242, 841382.9763011804 4704514.991250214, 841365.0694531209 4704988.316898137, 841762.4121135417 4705013.852027762), (841754.4352549399 4704401.773073902, 841755.6605146588 4704407.23342285, 841744.0215598965 4704419.842312439, 841741.6745647585 4704452.989607668, 841776.2280262667 4704540.937988021, 841770.3442503936 4704624.813785306, 841765.9912856172 4704625.580483672, 841758.5821118704 4704623.980939881, 841765.4858464459 4704549.24443986, 841728.1940337769 4704453.646992928, 841732.335153503 4704417.939939096, 841749.9255923671 4704397.155094163, 841754.4352549399 4704401.773073902))",412,412,922,Boone,"Borrego Solar Systems, Inc.",B,42.418515899999996,-88.846098,2000.0,"18219 IL Rte 76, Poplar Grove, IL  61065",43,Accepted,1.0,,Yes,"18219 IL-76, Poplar Grove, IL 61065, USA",ROOFTOP,street_address,"18219 IL Rte 76, Poplar Grove, IL  61065",0.0,,,
17,17,72.23,"POLYGON ((849447.8968159655 4703288.687762924, 849791.4009422914 4703302.068208661, 849792.2033719986 4703281.728683263, 849793.438314836 4703281.795024615, 849801.4832271694 4703101.388251494, 849804.256349061 4703003.407156259, 849940.5146318136 4703005.402633516, 849947.9715762202 4702854.578853056, 849938.0048297588 4702841.581354715, 849915.8278528773 4702820.876965205, 849902.3585140354 4702813.019720156, 849873.7602993844 4702801.564149966, 849839.2677098811 4702802.634804328, 849816.1560357099 4702801.701519249, 849791.3484110853 4702804.860952607, 849773.2275373114 4702802.876676376, 849747.6656404004 4702796.853562854, 849733.7386025502 4702795.165136987, 849714.3174636461 4702791.683569766, 849713.7611923 4702779.703527934, 849715.3749087976 4702727.13969554, 849719.6049982251 4702707.069913942, 849721.2149444188 4702689.273871898, 849770.3532115393 4702689.962525699, 849834.9280993665 4702685.123031836, 849825.2181856467 4702660.215115154, 849819.247777275 4702604.200503442, 849654.0814472758 4702592.649457932, 849429.9245984147 4702582.536032158, 849410.46800448 4702981.239027587, 849395.7467359237 4703262.571296423, 849394.5390100318 4703285.644357115, 849447.8968159655 4703288.687762924))",484,484,2712,Boone Solar 1 LLC,TCA Microgrid Energy Management LLC,B,42.39731939999999,-88.7535692,2000.0,"9700 Centerville Road, Capron, IL  61012",122,Waitlist,,,Yes,"9700 Centerville Rd, Capron, IL 61012, USA",RANGE_INTERPOLATED,street_address,"9700 Centerville Road, Capron, IL  61012",0.0,,,
18,18,72.23,"POLYGON ((849447.8968159655 4703288.687762924, 849791.4009422914 4703302.068208661, 849792.2033719986 4703281.728683263, 849793.438314836 4703281.795024615, 849801.4832271694 4703101.388251494, 849804.256349061 4703003.407156259, 849940.5146318136 4703005.402633516, 849947.9715762202 4702854.578853056, 849938.0048297588 4702841.581354715, 849915.8278528773 4702820.876965205, 849902.3585140354 4702813.019720156, 849873.7602993844 4702801.564149966, 849839.2677098811 4702802.634804328, 849816.1560357099 4702801.701519249, 849791.3484110853 4702804.860952607, 849773.2275373114 4702802.876676376, 849747.6656404004 4702796.853562854, 849733.7386025502 4702795.165136987, 849714.3174636461 4702791.683569766, 849713.7611923 4702779.703527934, 849715.3749087976 4702727.13969554, 849719.6049982251 4702707.069913942, 849721.2149444188 4702689.273871898, 849770.3532115393 4702689.962525699, 849834.9280993665 4702685.123031836, 849825.2181856467 4702660.215115154, 849819.247777275 4702604.200503442, 849654.0814472758 4702592.649457932, 849429.9245984147 4702582.536032158, 849410.46800448 4702981.239027587, 849395.7467359237 4703262.571296423, 849394.5390100318 4703285.644357115, 849447.8968159655 4703288.687762924))",564,564,2898,Boone Solar 1b LLC,TCA Microgrid Energy Management LLC,B,42.397351,-88.753569,1500.0,"9700 Centerville Road, #B, Capron, IL  61012",215,Waitlist,,,Yes,,,,"9700 Centerville Road, #B, Capron, IL  61012",1.0,,,
19,19,72.56,"POLYGON ((849338.6897134035 4704188.63033748, 849312.1445790778 4704572.182561307, 850013.5828887537 4704604.753831603, 850111.8501332966 4704609.729214276, 850124.3014984115 4704415.56989197, 850026.5644861266 4704409.924632803, 850036.4543067312 4704288.246380265, 850132.0923757704 4704294.077139238, 850136.276025197 4704228.833736904, 850066.0520141594 4704225.117558233, 849338.6897134035 4704188.63033748))",450,450,3117,Boone 2(a),"Illinois PV Boone 2, LLC",B,42.413090999999994,-88.749868,2000.0,"17828 Capron Road, Capron, IL  61012",84,Waitlist,,,Yes,"17828 Capron Rd, Capron, IL 61012, USA",ROOFTOP,street_address,"17828 Capron Road, Capron, IL  61012",0.0,,,
